"kaynak","kategori","kategori_adi","term","risk_turu","risk_puani","active","baglam_kurali","updated_at"
"Özel","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","dudaktan optu","Kelime / ifade","4","True","Varsayılan bağlam analizi","2026-06-17T13:08:35"
"Özel","cinsellik_mahremiyet","Cinsellik ve Mahremiyet","opustu","Kelime / ifade","4","True","Varsayılan bağlam analizi","2026-06-17T13:08:35"
"Özel","siddet_suc","Şiddet ve Suç","bicak cekti","Kelime / ifade","3","True","Varsayılan bağlam analizi","2026-06-17T13:08:35"
"Özel","siddet_suc","Şiddet ve Suç","pompali","Kelime / ifade","3","True","Varsayılan bağlam analizi","2026-06-17T13:08:35"
"Özel","siddet_suc","Şiddet ve Suç","silah[ıi]n[ıi]\s+cekti","Regex","3","True","Varsayılan bağlam analizi","2026-06-17T13:08:35"
"Özel","siddet_suc","Şiddet ve Suç","tabanca","Kelime / ifade","3","True","Varsayılan bağlam analizi","2026-06-17T13:08:35"
"Özel","zararlı_alışkanlıklar","Zararlı Alışkanlıklar","alkollu\s+arac\s+kulland[ıi]","Regex","4","True","Varsayılan bağlam analizi","2026-06-17T13:08:35"
"Özel","zararlı_alışkanlıklar","Zararlı Alışkanlıklar","elektronik sigara","Kelime / ifade","4","True","Varsayılan bağlam analizi","2026-06-17T13:08:35"
"Özel","zararlı_alışkanlıklar","Zararlı Alışkanlıklar","nargile","Kelime / ifade","4","True","Varsayılan bağlam analizi","2026-06-17T13:08:35"
"Özel","zararlı_alışkanlıklar","Zararlı Alışkanlıklar","sigara","Kelime / ifade","4","True","Varsayılan bağlam analizi","2026-06-17T13:08:35"
"Özel","zararlı_alışkanlıklar","Zararlı Alışkanlıklar","vape","Kelime / ifade","4","True","Varsayılan bağlam analizi","2026-06-17T13:08:35"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","aşağı ırk","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","aşağı ırk anlatımı","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","aşağı ırk ifadesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","aşağı ırk sahnesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","ayrımcı lakap","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
"Sistem","ayrımcılık_nefret","Ayrımcılık ve Nefret","ayrımcı lakap ifadesi","Kelime / ifade","5","True","Varsayılan bağlam analizi","Sistem varsayılanı"
