Özel - Cinsellik ve Mahremiyet
==============================
- dudaktan optu | Kelime / ifade | Risk 4 | Aktif
- opustu | Kelime / ifade | Risk 4 | Aktif

Özel - Şiddet ve Suç
====================
- bicak cekti | Kelime / ifade | Risk 3 | Aktif
- pompali | Kelime / ifade | Risk 3 | Aktif
- silah[ıi]n[ıi]\s+cekti | Regex | Risk 3 | Aktif
- tabanca | Kelime / ifade | Risk 3 | Aktif

Özel - Zararlı Alışkanlıklar
============================
- alkollu\s+arac\s+kulland[ıi] | Regex | Risk 4 | Aktif
- elektronik sigara | Kelime / ifade | Risk 4 | Aktif
- nargile | Kelime / ifade | Risk 4 | Aktif
- sigara | Kelime / ifade | Risk 4 | Aktif
- vape | Kelime / ifade | Risk 4 | Aktif

Sistem - Ayrımcılık ve Nefret
=============================
- aşağı ırk | Kelime / ifade | Risk 5 | Aktif
- aşağı ırk anlatımı | Kelime / ifade | Risk 5 | Aktif
- aşağı ırk ifadesi | Kelime / ifade | Risk 5 | Aktif
- aşağı ırk sahnesi | Kelime / ifade | Risk 5 | Aktif
- ayrımcı lakap | Kelime / ifade | Risk 5 | Aktif
- ayrımcı lakap ifadesi | Kelime / ifade | Risk 5 | Aktif
- ayrımcı lakap sahnesi | Kelime / ifade | Risk 5 | Aktif
- azınlık düşmanlığı | Kelime / ifade | Risk 5 | Aktif
- azınlık düşmanlığı ifadesi | Kelime / ifade | Risk 5 | Aktif
- azınlık düşmanlığı sahnesi | Kelime / ifade | Risk 5 | Aktif
- beden aşağılama | Kelime / ifade | Risk 5 | Aktif
- beden aşağılama ifadesi | Kelime / ifade | Risk 5 | Aktif
- beden aşağılama sahnesi | Kelime / ifade | Risk 5 | Aktif
- cinsiyetçi | Kelime / ifade | Risk 5 | Aktif
- cinsiyetçi anlatımı | Kelime / ifade | Risk 5 | Aktif
- cinsiyetçi ifadesi | Kelime / ifade | Risk 5 | Aktif
- cinsiyetçi sahnesi | Kelime / ifade | Risk 5 | Aktif
- çirkin | Kelime / ifade | Risk 5 | Aktif
- çirkin anlatımı | Kelime / ifade | Risk 5 | Aktif
- çirkin ifadesi | Kelime / ifade | Risk 5 | Aktif
- çirkin sahnesi | Kelime / ifade | Risk 5 | Aktif
- dış görünüşle alay | Kelime / ifade | Risk 5 | Aktif
- dış görünüşle alay ifadesi | Kelime / ifade | Risk 5 | Aktif
- dış görünüşle alay sahnesi | Kelime / ifade | Risk 5 | Aktif
- dil aşağılaması | Kelime / ifade | Risk 5 | Aktif
- dil aşağılaması ifadesi | Kelime / ifade | Risk 5 | Aktif
- dil aşağılaması sahnesi | Kelime / ifade | Risk 5 | Aktif
